Por que você sai da cama todos os dias?
//Edenilso Torres Zanoni: porque recebi mais um dia as bençãos da vida, então é aproveitar mais um dia de vida, bora aproveitar o presente! << 4 >>

//KatriniAlamar: d << 1 >>

//Higor Domingos Machado: Tenho motivos lindos em casa que me motivam a sair por elas... << 1 >>

//Carlos Marcelo Carpes: Porque viver é bom << 12 >>

//Vinícius dos Santos Fernandes: Eu saio da cama todos os dias pra curtir o dia, trabalhar e tals << 1 >>

//Hudson Uggioni: Porque preciso manter nossa empresa erguida para vocês trabalharem. << 1 >>

//Henrique de Quevedo Franco: Para levantar << 9 >>

//Vinicius Elias Barabas: Para desligar o despertador. << 1 >>

//Thainara Dagani Piva: Porque tem que ganhar dinheiro, tem que trabalhar, tenho responsabilidades. Porque tem que ir ao banheiro. Mas se não precisasse sair eu também não sairia. Porque não sou aleijada. Porque tem correr os 20km ou mais. << 1 >>

//Raquel Inácio: Pra viver << 1 >>

//Raquel Inácio: Para viver << 2 >>

//Natanael Dagostin Ghellere: Porque se não as panelas não ferve. << 1 >>

//Rafael Chagas: Por que eu preciso trabalhar. << 75 >>

//Vinnicius Ugioni: Para um futuro melhor. << 39 >>

//Weslen Jorge Lima Borges: Por que sei que tenho que ir a luta a trabalhar para sustentar a familia. << 3 >>

//Filipe Passos Pizzetti: Não sei, sempre me faço a mesma pergunta << 1 >>

//Weslen Jorge Lima Borges: Para ir a luta e sustentar minha familia. << 4 >>

//IsaEuzebio: Para conseguir realizar todos os sonhos pessoais e profissionais que tenho. << 1 >>

//Thauan Batista da Silveira: Muita fadiga em ficar muito tempo na cama << 1 >>

//teste teste: testestesteste << 1 >>

//Weslen Jorge Lima Borges: Para ir a luta e sustentar minha familia. << 1 >>

//Weslen Jorge Lima Borges: Para ir a luta e sustentar minha familia. << 11 >>

//Weslen Jorge Lima Borges: Para ir a luta e sustentar minha familia. << 26 >>

//João Vitor Fernandes Canuto: Pq tudo que é bom dura pouco! << 1 >>

//Weslen Jorge Lima Borges: Para ir a luta e sustentar minha familia. << 4 >>

//Jannaina Anita Sangaletti: Porque quero sair do bronze << 1 >>

//NathanBCorrea: pois tenho a necessidade de honrar meus compromissos. << 1 >>

//João Vitor Fernandes Canuto: Pq tenho que ganhar o pão de cada dia todos os dias << 1 >>

//Alexsandro Fernandes Maffei: As vezes eu fico na cama o dia todo kkkkkkk Mas geralmente pq necessitamos, trabalhar, comer, fazer o mundo "girar" << 2 >>

//Edenilso Torres Zanoni: Porque recebi mais um dia as bençãos da vida, então é aproveitar mais um belo dia de vida, bora aproveitar o presente! << 1 >>

//Carlos Marcelo Carpes: Porque os boletos batem na porta << 1 >>

//Lucas de Souza da Rosa: Porque meus boletos não vão se pagar sozinhos << 4 >>

//Evandro Menegaz de Oliveira: Porque graças a DEUS ele tem me dado fôlego de vida. :) << 1 >>

//Alexsandro Fernandes Maffei: De novo essa pergunta? << 1 >>

//teste teste: testeteste << 1 >>

//MIlena Souza da Silveira Alves: Para seguir com a vida =) << 3 >>

//Luiz Otavio Machado Vieira: Pra viver, ser feliz e pra ser um bom pai pra minha filha. << 14 >>

//Bruno João Danielski: Por que minha mulher não me deixa dormir, e também tenho que pagar meus boletos hehehe. << 6 >>

//Carlos Marcelo Carpes: Boletos e faturas << 5 >>

//André Tommasi Marcon: porque é necessário... ahahaaha << 1 >>

//Carlos Marcelo Carpes: Boletos, faturas, conta do buteco << 1 >>

//Jadson de Stefani: Porque ainda não consigo trabalhar de lá (kakaka) Porque exercícios fazem bem Porque os sonhos se conquistam fora dela << 123 >>

//Alessandro Nunes dos Santos Junior: Pra comer haha << 1 >>

//Nereu Lopes Neto: Para manter a constante evolução, e sempre ser inédito, inclusive pra mim. << 54 >>

//Thiago Borges Silveira: Porque eu nasci bonito e não rico. << 1 >>

//Nério Frank da Silveira: Foram meses desempregado antes de entrar aqui, e nesse meio tempo, a moral e o ego vão embora! Acredito que o trabalho duro levanta a moral. E ja que quero ser grande, assim como é a Useall, meter a cara no trabalho e nos estudos é o único caminho! << 30 >>

//Luiz Otavio Machado Vieira: pra ir ao banheiro << 3 >>

//Jhenyfer Beatriz Carpes Dutra: Porque tenho sonhos meus e das pessoas que eu amo para realizar, porque sou grata pela oportunidade de viver e trabalhar com o que amo. << 1 >>

//Kevin Nunes Marques: Para desenvolver soluções que realmente impactem na vida das pessoas << 1 >>

//Meiriane Mariot de Moraes Pavanello: Para viver. << 2 >>

//undefined: Por que não tem como ela sair de mim. << 6 >>

//Alexandre Uggioni: Para acordar << 6 >>

//Leonardo da Silva Serafim: Porque tem que trablhar. << 1 >>

//Nereu Lopes Neto: para trabalhar << 11 >>

//Nereu Lopes Neto: pois o sono acaba << 24 >>

//Nereu Lopes Neto: num sei naum << 978 >>

//Nereu Lopes Neto: testeeeeee << 2 >>

Por que você fica 8 horas e 48 minutos por dia tabalhando?
//Weslen Jorge Lima Borges: Para não trabalhar no sábado. << 85 >>

//Weslen Jorge Lima Borges: Para não trabalhar no sábado << 4 >>

//João Pedro Ugioni Demo: Pois este é o meu trabalho e foi para isso que fui contratado hehe << 13 >>

//Gustavo Martins: Porque necessitamos e precisamos do trabalho para nos trazer conforto para nós e a própria Empresa! << 14 >>

//Ângelo José da Rosa: Pra poder comprar skin pra minha webnamorada << 2 >>

//Edeval Torres Junior: Porque somos dedicados e gostamos do que fazemos. << 2 >>

//Carolina Barreto Maximo Forgiarini: kkkkkkkkk somos pagos para isso << 2 >>

//Edeval Torres Junior: Porque << 1 >>

//Luiz Filipe Medeiros de Costa: Porque isso faz com que eu não precise morar na rua. << 3 >>

//Carolina Barreto Maximo Forgiarini: kkkkkkkkkkk.... sou paga p isso << 22 >>

//Catia berti da silva: Responsabilidades para cumprir e metas para alcançar. << 59 >>

//Eduardo Freitas: Contribuir para uma causa. Aumentar meu leque de skills. Me tornar um profissional melhor. Ter maior poder aquisitivo. << 23 >>

//Edeval Torres Junior: $$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$ << 1 >>

//Jeremias Miguel: Porque o trabalho engrandece o homem << 1 >>

//Elton do Canto: Porque é obrigatório pela CLT. << 45 >>

//Tiago Pereira dos Santos: Porque trabalhamos no regime do comercio e para não trabalhar sábado temos que fazer 18 min. a mais por dia trabalho. << 14 >>

//Rodrigo Milanez Rodrigues: faz parte << 17 >>

//Elton do Canto: Porque é obrigatório pela CLT << 198 >>

//Hiury Guilherme Ronchi: Pra chegar no 5° dia útil e poder gastar todo salário com ifood << 9 >>

//Elton do Canto: Porque é obrigatório pela CLT << 31 >>

//Rafael Chagas: Para se sentir útil e buscar os sonhos materiais e imateriais << 25 >>

//Marcos Vinicius Cardoso: Para aquisição própria << 1 >>

//Jeremias Miguel: Porque é massa << 2 >>

//Oziel Silveira Junior: máximo 4000 caracteres << 3 >>

//Carolina Barreto Maximo Forgiarini: sou paga para isso << 5 >>

//LILIAN NART GRASSI MAZZORANA: Trabalho 8:48 por mim. Por minha Família. A Useall foi a empresa que escolhi pois os princípios se encaixam no que entendo e acredito ser o certo/correto. A satisfação reconhecimento e admiração vem com o tempo com o conhecimento. As pessoas me perguntam. Tu trabalho no que? Eu sempre digo. Eu trabalho com software (sistema, etc).. mas no final das contas eu trabalho com pessoas/relacionamentos. << 1048 >>

//Ângelo José da Rosa: Porque sempre que você olha uma criança, há sempre uma figura oculta, que é um cachorro atrás << 1 >>

//Marco Pizzollo: pq escolho amar meu futuro << 2 >>

//Tiago Pereira dos Santos: Porque assinei o contrato de trabalho. << 32 >>

//Rafael Chagas: por que não posso 6horas. << 11 >>

//LILIAN NART GRASSI MAZZORANA: Por que você fica 8 horas e 48 minutos por dia tabalhando? Trabalho 8:48 por mim. Por minha Família. A Useall foi a empresa que escolhi pois os princípios se encaixam no que entendo e acredito ser o certo/correto. A satisfação reconhecimento e admiração vem com o tempo com o conhecimento. As pessoas me perguntam. Tu trabalho no que? Eu sempre digo. Eu trabalho com software (sistema, etc).. mas no final das contas eu trabalho com pessoas/relacionamentos. << 16 >>

//Isabel Cristina Colombo Duarte: Porque preciso cumprir minha jornada semanal de 44 horas, 220 horas mês, segundo a CLT. Porém, nada nos impede de cumprir somente 8 horas horas por dia, 40 horas semanais, uma boa ideia também heim.... << 178 >>

//Rafael Chagas: Por que não posso 6 horas. << 6 >>

//LILIAN NART GRASSI MAZZORANA: Trabalho 8:48 por mim. Por minha Família. A Useall foi a empresa que escolhi pois os princípios se encaixam no que entendo e acredito ser o certo/correto. A satisfação reconhecimento e admiração vem com o tempo com o conhecimento. As pessoas me perguntam. Tu trabalho no que? Eu sempre digo. Eu trabalho com software (sistema, etc).. mas no final das contas eu trabalho com pessoas/relacionamentos. << 11 >>

//Hiury Guilherme Ronchi: Pra gastar tudo com ifood no 5° dia útil << 26 >>

//Hiury Guilherme Ronchi: Perdão, gosto de ifood << 1 >>

//Weslen Jorge Lima Borges: Para não trabalhar no sábado.por que? << 5 >>

//Evandro Rodrigues Porto: https://www.coalize.com.br/jornada-trabalho-44-horas Tem ai explicando << 1 >>

//Gladson Corrêa Nunes: teste << 9 >>

//Gladson Corrêa Nunes: testeqweqweqeq << 4 >>

//Evandro Rodrigues Porto: https://www.pontotel.com.br/jornada-de-trabalho/ tem aqui também << 1 >>

//Guilherme De Luca: A resposta mais obvia e sincera para isso é: Porque eu preciso de dinheiro. Entretanto, existem tantos cargos, tantas funções, tantas empresas, em que eu poderia trabalhar e receber um salário no final do mês, então porque eu estou na Useall? A resposta é porquê amo a maneira como a Useall trata seus colaboradores, o respeito, a empatia, o carinho que a Useall tem conosco é o que me faz ficar aqui. Meus colegas de trabalho também são parte fundamental disso, a disponibilidade, o coleguismo, sempre solícitos, o clima maravilhoso que existe neste ambiente, enfim, tudo isso me faz vir trabalhar com vontade. << 61 >>

//Marco Pizzollo: pq eu quero << 1 >>

//Simone Cacciatori de Mello: Porque preciso de um propósito profissional e como resultado, recebo salário e dou seguimento na vida, nos sonhos, nas realizações. << 1 >>

//Ramon Martins: Pra descobrir os porquês que todos estão perguntando o porque? << 8 >>

//Evandro Rodrigues Porto: https://www.pontotel.com.br/jornada-de-trabalho/ opaaa ta ai << 2 >>

//Salesio Eduardo: Para completar meus sonhos. << 1 >>

//Marco Pizzollo: preciso << 1 >>

//Vinicius Cesconeto Baranzelli: Ganhar dinheiro << 101 >>

//Juliene Miranda Custódio: Porque o dia tem 24 horas, no mínimo 8 horas de sono, 8 horas fazendo coisas que te fazem bem, passear, treinar, ler, estudar, e as outras 08:48 de trabalho servem para que eu me mova eu preciso de um impulso para ter as outras coisas, tudo é um ciclo, uma coisa leva a outra. Trabalhar pra fazer o bem para outra pessoa, poder ganhar e fazer coisas boas pra si mesmo. << 18 >>

//Ângelo José da Rosa: Pra aprender como fazer requisições rs. << 3 >>

//Carolina Barreto Maximo Forgiarini: sou paga p isso << 1 >>

//José Victor P. Inácio: Quem disse que eu fico kk... Preciso de dinheiro no fim do mês. << 9 >>

//Weslen Jorge Lima Borges: 'Por que as pessoas são massa', 'Por que tem uma mancha no vidro', 'Por que servir', 'Por que café', 'Por que 3 canecas de café por dia', 'Por que faturar contratos', 'Por que isso', 'Por que laranja', 'Por que azul', 'Por que jogar futebol com o pessoal depois do horário', 'Por que verde', 'Por que vidros adesivados', 'Por que teto de gesso', 'Por que correr 20km nos finais de semana', 'Por que treinar no horário de almoço', 'Por que treinar antes de vir trabalhar', 'Por que ir almoçar no shopping nas sextas-feiras', 'Por que o biscoito recheado acaba primeiro', 'Por que os novatos sempre pagam caixas de bombom pra sala', 'Por que café saudável', 'Por que fazer reuniões que poderiam ser um e-mail', 'Por que ir almoçar em Nova Veneza nos finais de ano', 'Por que sempre comprar salgadinhos no aniversário', 'Por que não comprar salgadinhos no aniversário de empresa', 'Por que bolo de caneca esse ano', 'Por que não tem coqueiros na frente da Useall', 'Por que sair do bronze é tão difícil', 'Por que fazer home office', 'Por que além da festa de final de ano sempre fazemos outras festas também', 'Por que 42', 'Por que cooperativas de energia', 'Por que comércio e serviços', 'Por que não manter a cor verde da casa', 'Por que os cachorros da vizinha são tão barulhentos as vezes', 'Por que desenhar coisas tão reais quanto elas são', 'Por que investir em moedas que nem podemos tocar', 'Por que esse layout', 'Por que pixels', 'Por que roxo', 'Por que muitos não sabem cuidar de cactos', 'Por que ouvir música durante o trabalho', 'Por que vidros escuros', 'Por que dois monitores', 'Por que caminhar no parque depois do trabalho', 'Por que a segunda-feira está tão longe da sexta-feira, e a sexta está tão perto da segunda', 'Por que a primeira vela acesa do advento no domingo foi verde e não vermelha', 'Por que IZY', 'Por que não', 'Por que o vinho seco é molhado', 'Por que tantos por quê', 'Por que o terceiro andar é laranja', 'Por que continuar o Play 21', 'Por que devolver a sala de jogos', 'Por que Exaltasamba toca pagode e Zeca Pagodinho toca samba', 'Por que o Artini ainda não conseguiu postar uma imagem no grupo', 'Por que precisamos lavar a toalha se já estamos limpos depois do banho', 'Por que infinitas possibilidades', 'Por que os gifs tem x3 no nome do arquivo', 'Por que um torneio de Mario Kart', 'Por que o Weslen e o Gabriel Mandelli são tão curiosos', 'Por que invadir o "site" da Useall', 'Por que que a bota a gente calça, e a calça a gente bota' << 3 >>

//Marco Pizzollo: pq dinheiro preciso ganhar << 1 >>

//Lincoln Machado: Para criar/fazer algo que possa tornar a vida de pelo menos uma pessoa melhor. << 2 >>

//Weslen Jorge Lima Borges: Para não trabalhar no sábado. << 4 >>

//VINICIUS PACHECO FERREIRA: cumprir a jornada de trabalho que a legislação trabalhista estabelece << 2 >>

//Jeferson Bortolatto: Para construir algo << 2 >>

//Lincoln Machado: .. << 1 >>

//Gabriel Rodrigues Bittencourt: Porque eu acredito que posso alcançar um estado de vida muito confortável seguindo o caminho que estou, mesmo ficando 8 horas e 48 minutos por dia trabalhando. << 2 >>

//Marco Pizzollo: ("-") << 1 >>

//Higor Ferrari: Porque eu gosto do que faço << 2 >>

//Oziel Silveira Junior: Quem disse que eu tabalho? << 1 >>

//teste fazendo teste: teste!@#$%¨&*()a;/qwertyiopasdfghjklzxcvbnm<>:,.;?^}`QWERTYUIOPASDFGHKLÇZXCVBNM << 2 >>

//Cléo Constantino: Para receber meu salário! << 1 >>

//Cléo Constantino: Para receber meu salário! << 1 >>

//Cléo Constantino: Para receber meu salário no mês seguinte! << 1 >>

//Wilgner Viana da conceição: Fácil, programar e criar coisas é primeiro o meu hobby, depois o meu ofício, então já passaria uma boa parte do dia fazendo isso mesmo que não estivesse trabalhando. O esquema é que, trabalhar com isso rende uma boa grana tbm, então é simplesmente unir o agradável ao útil. << 13 >>

//Weslen Jorge Lima Borges: Para não trabalharmos no sábado. << 1 >>

//Weslen Jorge Lima Borges: Segundo o sindicato é para não trabalhar até meio-dia no sábado. << 16 >>

//Weslen Jorge Lima Borges: Segundo o sindicato para não trabalhar no sábado. << 1 >>

//Rafael Chagas: E quem fica 8h e 48min trabalhando? << 1 >>

//Rafael Chagas: Porque não posso ficar 6h. << 1 >>

//testet este: testeteste << 1 >>

//Rafael Chagas: E pq não posso ficar 5? << 1 >>

//Rafael Chagas: porque não? << 2 >>

//Rafael Chagas: pq o dia tem 24h << 1 >>

//Rafael Chagas: Deveria ser 4horas? << 8 >>

//Rafael Chagas: Por que não ganhei na mega sena << 2 >>

//Rafael Chagas: próxima pergunta? << 5 >>

//Rafael Chagas: que tantas horas << 4 >>

//Rafael Chagas: pq não trabalhar? << 4 >>

//Rafael Chagas: não quero mais trabalhar << 3 >>

//Rafael Chagas: de novo essa pergunta? << 2 >>

//Rafael Chagas: essa já foi. próxima << 4 >>

//Rafael Chagas: mas gosta de trabalhar... << 2 >>

//Rafael Chagas: pq não são 6? << 3 >>

//Patricia Bento Anotnio: Por exigência da lei trabalhista. Mas não garante produtividade, não no nosso ramo. << 2 >>

//Alvaro Brognoli: Quem disse isso? << 9 >>

//Alvaro Brognoli: Quem disse issssssssso? << 19 >>

//Alvaro Brognoli: Por que o dia tem apenas 24 horas? << 11 >>

//Nério Frank da Silveira: Foram meses desempregado antes de entrar aqui, e nesse meio tempo, a moral e o ego vão embora! Acredito que o trabalho duro levanta a moral. E ja que quero ser grande, assim como é a Useall, meter a cara no trabalho e nos estudos é o unico caminho! << 13 >>

//Nério Frank da Silveira: Foram meses desempregado antes de entrar aqui, e nesse meio tempo, a moral e o ego vão embora! Acredito que o trabalho duro levanta a moral. E ja que quero ser grande, assim como é a Useall, meter a cara no trabalho e nos estudos é o único caminho! << 317 >>

//Everson Brignoli de Sousa: Resolver problemas que antes não existiam << 4 >>

//Nério Frank da Silveira: Foram meses desempregado antes de entrar aqui, e nesse meio tempo, a moral e o ego vão embora! Acredito que o trabalho duro levanta a moral. E ja que quero ser grande, assim como é a Useall, meter a cara no trabalho e nos estudos é o unico caminho! << 31 >>

//Marlon de Bem: Para poder ajudar as pessoas e realizar meus sonhos << 1 >>

//Jadson Sartor Laurindo: Porque de acordo com a CTL são 44 horas semanais, sendo 8 horas de segunda a sexta e 4 horas aos sábados, mas a Useall não trabalha aos sabados então dilui. << 24 >>

//Bruno Silva Daniel: Ngm fica 8 horas e 48 minutos trabalhando aqui, mudando de assunto pq essa tela ta feita só com html padrão? tá muito estranho isso << 4 >>

//Bruno Silva Daniel: Ngm fica 8 horas e 48 minutos trabalhando aqui, mudando de assunto pq essa tela ta feita só com html padrão? tá muito estranho isso, msg 2: a legal fica dando update nas mesagems << 1 >>

//Bruno Silva Daniel: Ngm fica 8 horas e 48 minutos trabalhando aqui, mudando de assunto pq essa tela ta feita só com html padrão? tá muito estranho isso, msg 2: a legal fica dando update nas mesagems msg 3: gostei do diario do devs msg 4: quinta ou sexta é ext? pq assíncrono é a chave? << 2 >>

//Douglas Dagostin Bittencourt: Pra ajudar pessoas a ajudar pessoas. Pra garantir o sustento da minha família. Pra fazer com que a Useall cresça cada vez mais. Enfim, são vários os porquês! << 5 >>

//Anthony Müller: porque o capitalismo mandou............ :( << 3 >>

//Eduardo Cizeski Meneghel: Porque eu gosto das pessoas aqui da Useall, os clientes são bons, as pessoas aqui são inteligentes e fáceis de lidar. E principalmente a equipe que trabalhamos é especial, muito unida e querida. Também, gosto muito de trabalhar com software e tecnologia, tudo é muito divertido e desafiador. << 6 >>

//Matheus Cataneo: Eu não fico isso tudo. << 1 >>

//Kevin Nunes Marques: Determinação da Useall << 1 >>

//Israel burigo: Clt << 2 >>

//fabio.stefani: para pagar as contas << 2 >>

//Isabel Cristina Colombo Duarte: Boa pergunta, na minha opinião poderia ser somente 8 horas por dia. << 38 >>

//Jeremias Miguel: Faz parte do rolê << 1 >>

//12345678910: testeteste << 7 >>

//Oséias da Silva Martins: Para fazer o melhor ERP do Brasil! << 4 >>

//Elton do Canto: porque a clt exige << 27 >>

//Nereu Lopes Neto: testeeeeee << 10 >>

//Otomar Rocha Speck: Para chegar no final do dia e ter a satisfação de ter ajudado alguém, contribuido com algo maior... ganhar ou passar algum conhecimento.... << 5 >>

//Alexandre Soriano: Porque ainda não criamos um método de trabalhar menos e entregar mais. << 26 >>

//Rosevania Bariviera: porque quero << 1 >>

//Igor Passarela: Porque em contrato de trabalho devemos cumprir uma carga horaria semanal de 44h. << 124 >>

//Alvaro Brognoli: dasf hdfhasdfh a dfha sfhasfhasfh << 1 >>

//Marieli Rodrigues dos Santos Menegas: Porque o trabalho enobrece o homem. E depois gosto do que eu faço e por fim, não menos importante preciso pagar as contas kkkk. << 17 >>

//Elton Jhons Stosl: Para fechar a carga horário. << 7 >>

//Marieli Rodrigues dos Santos Menegas: Porque o trabalho enobrece o homem. E depois gosto do que eu faço e por fim, não menos importante preciso pagar as contas kkkk. << 31 >>

//João Paulo Pacheco da Silva: A jornada de oito horas faz referência a reivindicação do movimento operário pela redução da jornada de trabalho e o estabelecimento das oito horas de trabalho diárias ou 48 horas semanais, que teve origem nas condições penosas de trabalho da Revolução Industrial na Grã Bretanha em meados do século XIX. Robert Owen difundiu a ideia que a qualidade do trabalho de um trabalhador tem uma relação diretamente proporcional com a qualidade de vida do mesmo e para qualificar a produção de cada trabalhador, é indispensável fornecer melhorias nas áreas de salários, habitação, higiene e educação, proibir o trabalho infantil e determinar uma quantidade máxima de horas de trabalho de dez horas e meia. Para 1817 ele formulou o objetivo do dia de oito horas e cunhou o lema de oito horas de trabalho, oito horas para viver e oito horas de descanso (8 hours labour, 8 hours recreation, 8 hours rest). Fonte: Confia (Wikipédia) << 6 >>

Por que você pensa em trabalho quando não deveria estar pensando em trabalho?
//Rafael Dias Rocha: Porque está sobrecarregado no serviço << 4 >>

//Kevin Marques: Porque as vezes não penso em trabalho quando deveria estar pensando em trabalho. << 1 >>

//Michel Diogo Formigoni: porque o trabalho faz parte das nossas vidas. << 1 >>

//Michel Diogo Formigoni: porque o trabalho faz parte das nossas vidas << 1 >>

//João vitor ferreira leal: porque os pensamentos ficam ligados no trabalho após não estando em trabalho. << 13 >>

//Michel Diogo Formigoni: já respondi << 1 >>

//Rafael Dias Rocha: Está sobrecarregado no serviço << 12 >>

//Kenny Robert: Eu não penso em trabalho quando não estou no trabalho para não misturar vida pessoal com profissional. << 15 >>

//Rodrigo Milanez Rodrigues: Não consigo desligar totalmente, me sinto comprometido com o cliente. << 3 >>

//Stephany Costa: Porque o trabalho faz parte de mim e eu faço parte do meu trabalho, logo, é pelo mesmo motivo que me leva pensar em coisas alheias ao trabalho quando estou no trabalho. << 6 >>

//Guilherme Venturini: Porque a maior parte do tempo da nossa semana nós encontramos aqui, e geralmente alguma ação que realizamos no nosso dia-a-dia nos remete a algo que tenha referência com o trabalho. << 2 >>

//Edeval Torres Junior: Porque é o que move << 12 >>

//Edeval Torres Junior: 0123456789 << 6 >>

//Tiago Rosa de Melo: Pois nossa mente esta trabalhando 24h por dia ;) << 4 >>

//Túlio Gabriel Domingos: Mas eu não penso no trabalho fora do trabalho. << 63 >>

//Marco Antônio Accorsi Lisboa Filho: Porque o trabalho gera preocupações que eu levo pra casa. << 3 >>

//Túlio Gabriel Domingos: Mas eu não penso no trabalho fora do trabalho............................ << 3 >>

//Douglas Albino Rafael da Rosa: Por que meu cérebro não consegue separar a vida pessoal da profissional. << 36 >>

